"brand_name","category_name","product_name","sell_price","url"
"Craftsman","Tools_Tool Storage_Portable Toolboxes","Craftsman 3-Drawer Portable Tool Chest - Red","$59.99","https://www.sears.com/craftsman-3-drawer-portable-tool-chest/p-00935112000P"
"Craftsman","Tools_Tool Storage_Tool Carriers","Craftsman 13-in and 18-in Tool Bag Set","$14.99","https://www.sears.com/craftsman-13-in-18-in-tool-bag-combo/p-00937537000P"
"Craftsman","Tools_Tool Storage_Portable Toolboxes","Craftsman 19-in Toolbox with Tray - Black/Red","$24.99","https://www.sears.com/craftsman-19-inch-tool-box-with-tray-black-red/p-A025336352"
"Craftsman","Tools_Tool Storage_Bottom Rollaway Chests","Craftsman 41&#8221; 7 Drawer Cabinet","$539.99","https://www.sears.com/craftsman-41-8221-7-drawer-cabinet/p-A075482002"
"Costway","Tools_Tool Storage_Portable Toolboxes","Costway High Capacity 6-Drawer Rolling Tool Chest Storage Cabinet Toolbox Combo with Riser","$229.99","https://www.sears.com/costway-high-capacity-6-drawer-rolling-tool-chest/p-A118392399"
"Craftsman","Tools_Tool Storage_Bottom Rollaway Chests","Craftsman 52 in. 6-Drawer Tool Chest","$359.99","https://www.sears.com/craftsman-52-in-6-drawer-tool-chest/p-A108332795"
"Craftsman","Tools_Tool Storage_Workstations & Project Centers","Craftsman 48 in. Adjustable Height Workbench with Pegboard and LED Light","$179.99","https://www.sears.com/craftsman-48-in-adjustable-height-workbench-with-pegboard/p-A105187085"
"Craftsman","Tools_Tool Storage_Top Chest","Craftsman 41&#8221; 6 Drawer Chest","$233.99","https://www.sears.com/craftsman-41-8221-6-drawer-chest/p-A075482000"
"DieHard","Tools_Tool Storage_Bottom Rollaway Chests","DieHard 26&#8221; Bottom Rollaway Chest with 4 Drawers","$179.99","https://www.sears.com/diehard-26-8221-bottom-rollaway-chest-with-4-drawers/p-A108507351"
"DieHard","Tools_Tool Storage_Top Chest","DieHard 26&#8221; Top Chest with 4 Drawers","$125.99","https://www.sears.com/diehard-26-8221-top-chest-with-4-drawers/p-A108507250"
