"brand_name","category_name","product_name","sell_price","url"
"Kenmore","Appliances_Freezers & Ice Makers_Upright Freezers","Kenmore 22152   15.3 cu. ft. Upright Freezer, Auto Defrost, Garage Ready - White","$529.88","https://www.sears.com/kenmore-22152-15.3-cu-ft-upright-freezer/p-A104480509"
"Kenmore","Appliances_Freezers & Ice Makers_Upright Freezers","Kenmore 22182  17.8 CF Convertible Upright Freezer","$599.88","https://www.sears.com/kenmore-22182-17.8-cf-convertible-upright-freezer/p-A108360680"
"Frigidaire","Appliances_Freezers & Ice Makers_Upright Freezers","Frigidaire FFFU16F2VW  15.5 cu. ft. Frost Free Upright Freezer with EvenTemp&#8482; &#8211; White","$699.99","https://www.sears.com/frigidaire-fffu16f2vw-15.5-cu-ft-frost-free/p-A078650199"
"GE Appliances","Appliances_Freezers & Ice Makers_Upright Freezers","GE Appliances FUF21SMRWW 21.3 cu. ft. Upright Freezer - White","$1,099.99","https://www.sears.com/ge-appliances-fuf21smrww-21.3-cu-ft-upright-freezer/p-A025438468"
"Frigidaire","Appliances_Freezers & Ice Makers_Upright Freezers","Frigidaire FFUE2024AW  20 cu. ft. Upright Freezer &#8211; White","$929.99","https://www.sears.com/frigidaire-ffue2024aw-20-cu-ft-upright-freezer/p-A109031844"
"Cooler Depot","Appliances_Freezers & Ice Makers_Upright Freezers","Cooler Depot 54 in. W 47 cu. ft. Frost-free Two Door Commercial Reach In Upright Freezer in Stainless Steel","$2,658.00","https://www.sears.com/cooler-depot-6xxxb54f-54-in-w-47-cu/p-A118857490"
"NewAir","Appliances_Freezers & Ice Makers_Ice Makers","Newair 15"" Undercounter 80 lbs. Daily Clear Ice Cube Maker Machine","$1,192.49","https://www.sears.com/newair-nci080ss00-newair-15inch-undercounter-80-lbs-daily/p-A115515448"
"Kenmore","Appliances_Freezers & Ice Makers_Upright Freezers","Kenmore 21212   20.8 cu. ft. Upright Freezer, Auto Defrost, Garage Ready - White","$749.88","https://www.sears.com/kenmore-21212-20.8-cu-ft-upright-freezer/p-A104480510"
"Frigidaire","Appliances_Freezers & Ice Makers_Chest Freezers","Frigidaire FFCL2042AW  19.8 cu. ft. Chest Freezer &#8211; White","$949.96","https://www.sears.com/frigidaire-ffcl2042aw-19.8-cu-ft-chest-freezer/p-A108395955"
"GE Appliances","Appliances_Freezers & Ice Makers_Upright Freezers","GE Appliances FUF14SMRWW 14.1 cu. ft. Upright Freezer - White","$849.99","https://www.sears.com/ge-appliances-fuf14smrww-14.1-cu-ft-upright-freezer/p-A025438471"
"Midea","Appliances_Freezers & Ice Makers_Upright Freezers","Midea WHS-772FWEW1 21cu.ft. Convertible Upright Freezer","$962.99","https://www.sears.com/midea-whs-772fwew1-upright-freezer/p-A120052591"
"Frigidaire","Appliances_Freezers & Ice Makers_Chest Freezers","Frigidaire EFRF9003 9 CF Chest Freezer","$350.99","https://www.sears.com/frigidaire-efrf9003-9-cf-chest-freezer/p-A120161362"
"Frigidaire","Appliances_Freezers & Ice Makers_Chest Freezers","Frigidaire FFCL1542AW  14.8 cu. ft. Chest Freezer &#8211; White","$599.99","https://www.sears.com/frigidaire-ffcl1542aw-14.8-cu-ft-chest-freezer/p-A108395924"
"GE Appliances","Appliances_Freezers & Ice Makers_Upright Freezers","GE Appliances FUF21DLRWW 21.3cu.ft. Frost-Free Upright Freezer","$1,149.99","https://www.sears.com/ge-appliances-fuf21dlrww-21.3cu-ft-frost-free-upright-freezer/p-A019345570"
