"brand_name","category_name","product_name","sell_price","url"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","Craftsman 450-Piece Mechanic's Tool Set","$229.99","https://www.sears.com/craftsman-450-piece-mechanic-s-tool-set/p-A010318153"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","Craftsman 230-Piece Mechanic's Tool Set","$99.99","https://www.sears.com/craftsman-230-piece-mechanic-s-tool-set/p-00999920000P"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","Craftsman 320-Piece Mechanic's Tool Set","$159.99","https://www.sears.com/craftsman-320-piece-mechanic-s-tool-set/p-00999030000P"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","Craftsman 500-Piece Mechanic Tool Set","$899.99","https://www.sears.com/craftsman-500-piece-mechanic-tool-set/p-A102532125"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","Craftsman 165-Piece Mechanic Tool Set","$79.99","https://www.sears.com/uboxes-6-room-economy-kit/p-A102532127"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","Craftsman 115-Piece Mechanic Tool Set","$69.99","https://www.sears.com/craftsman-115-piece-mechanic-tool-set/p-A102532126"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","CRAFTSMAN Home Tool Kit / Mechanics Tools Kit, 57-Piece (CMMT99446)","$97.69","https://www.sears.com/craftsman-home-tool-kit-mechanics-tools/p-A109918324"
"Winado","Tools_Tool Sets_Mechanics Tool Sets","Winado 799 PCS Complete Tool Set Mechanics Wrenches Screwdriver Socket with Trolley Case, Auto Home Repair Kit","$118.99","https://www.sears.com/winado-599-pcs-complete-tool-set-mechanics-wrenches/p-A023655259"
"Trademark Global","Tools_Tool Sets_Electricians Tool Sets","Trademark Global Trademark ToolsT 74 piece Combo Cordless Drill &amp; Driver","$123.68","https://www.sears.com/trademark-global-product-name-4346613/p-A113120075"
"Entai","Tools_Tool Sets_Home Owner Tool Sets","Entai 218-Piece Tool Kit for Home, General Household Hand Tool Set with Solid Carrying Tool Box, Home Repair Basic Tool Kit Sets for","$81.69","https://www.sears.com/entai-218-piece-tool-kit-for-home-general/p-A099615531"
"FIRSTOFFER (Limited Sale)!!","Tools_Tool Sets_Mechanics Tool Sets","FIRSTOFFER (Limited Sale)!! 9pcs Hose Clamp Clip Plier Set Swivel Jaw Flat Angled Band Auto Repair Tools Kit","$55.60","https://www.sears.com/firstoffer-limited-sale-12pcs-8-19mm-metric-flexible/p-A065249021"
"Dsermall","Tools_Tool Sets_Home Owner Tool Sets","Dsermall Car Brake Caliper Press Tool Piston Wrench Spreader Caliper Pad Install Tool For Single Twin Quad Piston Disc Brake","$31.58","https://www.sears.com/dsermall-car-brake-caliper-press-tool-piston-wrench/p-A118671375"
"Cartman","Tools_Tool Sets_Home Owner Tool Sets","Cartman 148-Piece Tool Set - General Household Hand Tool Kit with Plastic Toolbox Storage Case, Socket","$60.00","https://www.sears.com/cartman-148-piece-tool-set-general-household-hand/p-A088734223"
"DeWalt","Tools_Tool Sets_Mechanics Tool Sets","DeWalt 115-DWMT73801 Mechanics Tool Set, 108-Piece","$118.99","https://www.sears.com/dewalt-dwmt73801-108-piece-1-4inch-3-8inch-drive/p-00941918000P"
"Stock Preferred","Tools_Tool Sets_Mechanics Tool Sets","Stock Preferred Damaged Screw Extractor 1/4 Hex Shank 6PCS","$18.99","https://www.sears.com/stock-preferred-damaged-screw-extractor-1-4-hex-shank/p-A117520479"
"DeWalt","Tools_Tool Sets_Mechanics Tool Sets","DeWalt DWMT73802 142-Pc. Mechanics Tool Kit, With Case - Quantity 1","$169.99","https://www.sears.com/dewalt-dwmt73802-mechanics-tool-kit-set-with/p-00941919000P"
"Craftsman","Tools_Tool Sets_Home Owner Tool Sets","Craftsman 8-Piece Kids Junior Tool Set with Tool Bag, Real Tools","$61.63","https://www.sears.com/craftsman-8-piece-kids-junior-tool-set-with/p-A099615769"
"BESTBUY","Tools_Tool Sets_Mechanics Tool Sets","BESTBUY New 5PCS Step Drill Bit Set 50 Sizes HSS COBALT Multiple Hole Step Drill Bit Set Mechanic Tool Set Accessory Kit","$34.16","https://www.sears.com/bestbuy-new-5pcs-step-drill-bit-set-50/p-A119002736"
"Craftsman","Tools_Tool Sets_Mechanics Tool Sets","Craftsman 270-Piece Mechanic Tool Set","$219.99","https://www.sears.com/craftsman-270-piece-mechanic-tool-set/p-A102532117"
"Crescent","Tools_Tool Sets_Mechanics Tool Sets","Crescent CTK128C Crescent 3/8 In. Drive 12-Point Standard/Metric Mechanic & Automotive Tool Set (128-Piece) CTK128C","$122.32","https://www.sears.com/crescent-sae-metric-128-pc-chrome-vanadium-steel-3-8/p-A009807966"
"Stock Preferred","Tools_Tool Sets_Mechanics Tool Sets","Stock Preferred Pick and Hook Set Gasket Scraper Hose Removal Pry Pullers Tool Set 4in1","$14.99","https://www.sears.com/stock-preferred-pick-and-hook-set-gasket-scraper/p-A117456576"
"AllSpace","Tools_Tool Sets_Home Owner Tool Sets","Allspace 43 Piece Essential Tool Set - 240214","$89.95","https://www.sears.com/allspace-43piece-ladies-pink-tool-set-with-tool/p-A090836569"
